Chr	Start	End	GeneID	Anolis	Python	Thamnophis	lfcMean_LiverTreat	lfcSE_LiverTreat	pAdj_LiverTreat	lfcMean_LiverInter	lfcSE_LiverInter	pAdj_LiverInter	lfcMean_KidneyTreat	lfcSE_KidneyTreat	pAdj_KidneyTreat	lfcMean_KidneyInter	lfcSE_KidneyInter	pAdj_KidneyInter	lfcMean_SkinTreat	lfcSE_SkinTreat	pAdj_SkinTreat
scaffold-ma3	84303050	84307830	maker-scaffold-ma3-augustus-gene-281.2	pde3a	PDE3A	LOC106555822	1.462121444	0.639588916	0.016638319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	88686268	88766736	augustus_masked-scaffold-ma3-processed-gene-295.7	kifap3	KIFAP3	KIFAP3	2.233417336	1.126989385	0.013577031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	93131798	93321003	augustus_masked-scaffold-ma3-processed-gene-311.0	hmcn1	HMCN1	TTN	1.363414675	0.589161452	0.016935607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	96316285	96327663	augustus_masked-scaffold-ma3-processed-gene-321.4	plod3	LOC103067401	PLOD1	1.264480162	0.703841431	0.042827572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	99965009	99965716	augustus_masked-scaffold-ma3-processed-gene-333.2	nr5a2	LOC103055504	NR5A2	1.850330102	1.372229683	0.033408512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	106928355	106948237	maker-scaffold-ma3-augustus-gene-356.3	ptbp2	PTBP2	PTBP3	1.04925036	0.531484187	0.039441902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	108071787	108092213	maker-scaffold-ma3-augustus-gene-360.3	NA	NA	NA	-2.179484706	0.807207075	0.005018437	NA	NA	NA	-3.041536323	1.635459051	0.004412868	NA	NA	NA	NA	NA	NA
scaffold-ma3	111291909	111321030	maker-scaffold-ma3-augustus-gene-371.7	lrrc8b	LRRC8B	LRRC8B	-1.15843565	0.580784859	0.034728453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	113205516	113207392	maker-scaffold-ma3-augustus-gene-377.6	bcl10	BCL10	BCL10	1.931293073	1.319091766	0.029013475	NA	NA	NA	1.604726061	1.211029649	0.040393171	NA	NA	NA	NA	NA	NA
scaffold-ma3	121014461	121075643	maker-scaffold-ma3-augustus-gene-403.9	lrrc7	LRRC7	LRRC7	-2.210050153	1.592715395	0.016313809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	121424589	121439586	maker-scaffold-ma3-augustus-gene-404.2	depdc1	DEPDC1	DEPDC1	1.597462499	1.387819462	0.04913345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	123853374	123869897	maker-scaffold-ma3-augustus-gene-412.12	kank4	KANK4	KANK4	-2.34808198	1.502568552	0.014141418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	133522093	133537600	maker-scaffold-ma3-augustus-gene-445.10	urod	UROD	UROD	-1.882257357	0.832753488	0.012828555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	137196746	137228340	maker-scaffold-ma3-augustus-gene-457.13	gnai3	GNAI3	GNAI3	2.028777733	0.834592675	0.008944671	NA	NA	NA	1.10216101	0.606394006	0.047888215	NA	NA	NA	NA	NA	NA
scaffold-ma3	137196746	137228340	maker-scaffold-ma3-augustus-gene-457.13	gnai3	GNAI3	GNAI3	1.339916555	0.726049077	0.03726682	NA	NA	NA	1.10216101	0.606394006	0.047888215	NA	NA	NA	NA	NA	NA
scaffold-ma3	138587301	138591037	maker-scaffold-ma3-augustus-gene-462.14	clps	CLPS	CLPS	1.995725288	1.440877179	0.025900337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	143508093	143570350	augustus_masked-scaffold-ma3-processed-gene-478.3	plekha6	PLEKHA6	PLEKHA6	-1.243558574	0.558401821	0.021938164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	143490310	143500443	maker-scaffold-ma3-augustus-gene-478.7	golt1a	GOLT1A	KISS1	-1.84703392	0.783796606	0.0113305	NA	NA	NA	-2.762091851	1.111352211	0.003211134	NA	NA	NA	NA	NA	NA
scaffold-ma3	144774661	144789747	maker-scaffold-ma3-augustus-gene-482.8	tmcc2	TMCC2	TMCC2	-2.036351546	1.41833154	0.024570932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	152742826	152755913	augustus_masked-scaffold-ma3-processed-gene-509.1	syt2	SYT2	SYT2	1.682599642	1.073065581	0.038273786	NA	NA	NA	-1.295082898	0.657366447	0.024882033	NA	NA	NA	NA	NA	NA
scaffold-ma3	154193153	154248209	augustus_masked-scaffold-ma3-processed-gene-514.1	kdm5b	KDM5B	KDM5B	1.841835242	1.061541026	0.026562645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	157377863	157391563	maker-scaffold-ma3-augustus-gene-524.4	eif2s2	EIF2S2	EIF2S2	1.0318154	0.557939565	0.049736574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	176364103	176427039	augustus_masked-scaffold-ma3-processed-gene-588.0	adrm1	ADRM1	OSBPL2	1.321303752	0.768012904	0.045304232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	692106	707806	augustus_masked-scaffold-ma1-processed-gene-2.3	LOC103281912	NA	BSG	1.969613264	0.808158978	0.009193945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	2743135	2750852	maker-scaffold-ma1-augustus-gene-9.13	cers5	CERS1	CERS1	-3.594280019	1.075582525	0.00039659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	4556525	4583115	maker-scaffold-ma1-augustus-gene-15.8	mknk2	MKNK2	MKNK1	1.554269662	1.574997919	0.035131302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	3774531	3775151	augustus_masked-scaffold-ma1-processed-gene-12.6	hspb9	LOC103057799	LOC106542254	1.91710515	0.968078065	0.018620817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	5854846	5870078	maker-scaffold-ma1-augustus-gene-19.6	klf13	KLF11	KLF16	2.068885204	0.641858023	0.001898695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	6310598	6319403	augustus_masked-scaffold-ma1-processed-gene-21.4	NA	MFSD12	MFSD12	3.345096079	1.288998906	0.001704309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	14560035	14581466	maker-scaffold-ma1-augustus-gene-48.8	ero1a	ERO1A	ERO1B	3.127289045	0.800621549	0.000186883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	14761239	14774319	maker-scaffold-ma1-augustus-gene-49.14	ptgir	PTGER2	LOC106537824	1.74702524	0.955974517	0.02621437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	19029083	19069397	maker-scaffold-ma1-augustus-gene-63.7	hif1a	HIF1A	HIF1A	2.941267908	1.112066194	0.002827589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	23157801	23213411	augustus_masked-scaffold-ma1-processed-gene-77.1	aspg	ASPG	ASPG	1.872550654	1.004358699	0.022541664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	39033035	39080104	maker-scaffold-ma1-augustus-gene-130.12	sptlc2	SPTLC2	SPTLC2	1.568492419	0.435039435	0.000916587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	44157378	44162255	maker-scaffold-ma1-augustus-gene-147.6	egln1	EGLN3	EGLN3	1.838894216	1.660810513	0.022032143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	43208320	43223994	maker-scaffold-ma1-augustus-gene-144.2	mbip	MBIP	MBIP	-1.651964821	0.884798853	0.027041927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	43647611	43652802	maker-scaffold-ma1-augustus-gene-145.7	nfkbia	NFKBIA	NFKBIA	3.514408896	1.008867259	0.000329328	NA	NA	NA	2.685213964	1.243528666	0.005266327	NA	NA	NA	NA	NA	NA
scaffold-ma1	53670331	53672546	augustus_masked-scaffold-ma1-processed-gene-178.2	chac1	CHAC1	CHAC1	2.489366759	1.205307677	0.009347255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	56417493	56430145	maker-scaffold-ma1-augustus-gene-188.12	dnal1	DNAL1	DNAL1	1.079437756	0.440448794	0.016562808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	58575521	58629750	maker-scaffold-ma1-augustus-gene-195.11	smoc1	SMOC1	SMOC1	2.197419518	0.867562353	0.006536255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	71571763	71634022	maker-scaffold-ma1-augustus-gene-238.10	LOC100567152	ANO1	ANO1	2.382930765	1.185436121	0.011285527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	89251242	89306676	maker-scaffold-ma1-augustus-gene-297.7	pik3c2a	PIK3C2A	PIK3C2B	3.18491031	0.911008659	0.000472935	NA	NA	NA	1.213320998	0.617742187	0.029832108	NA	NA	NA	NA	NA	NA
scaffold-ma1	93238957	93242585	maker-scaffold-ma1-augustus-gene-310.3	NA	ADM	ADM	3.406737626	1.03001987	0.000539534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	92871316	92885556	maker-scaffold-ma1-augustus-gene-309.8	wee1	WEE1	WEE1	1.599719836	1.414721558	0.047870564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	96003296	96084602	maker-scaffold-ma1-augustus-gene-320.5	lrp5	LRP5	LRP5	1.870386563	1.131594756	0.028044413	NA	NA	NA	1.782040298	0.774546619	0.006887229	NA	NA	NA	NA	NA	NA
scaffold-ma1	96003296	96084602	maker-scaffold-ma1-augustus-gene-320.5	lrp5	LRP5	LRP5	1.890686659	1.593276155	0.024984037	NA	NA	NA	1.782040298	0.774546619	0.006887229	NA	NA	NA	NA	NA	NA
scaffold-ma1	102282172	102306986	maker-scaffold-ma1-augustus-gene-341.10	max	MAX	MAX	1.433395556	0.70776788	0.025968819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	102999393	103000958	maker-scaffold-ma1-augustus-gene-343.9	NA	NA	LOC106549204	1.805287664	0.833880613	0.015763122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	105703514	105751388	augustus_masked-scaffold-ma1-processed-gene-352.5	mon2	LOC103063755	LOC106538877	1.786723073	0.529093496	0.001516173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	111368403	111383804	maker-scaffold-ma1-augustus-gene-371.6	eaf2	EAF2	EAF2	2.101456933	0.880215721	0.009073171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	114274411	114310630	maker-scaffold-ma1-augustus-gene-381.11	LOC100556166	LOC103064355	LOC106556366	-1.591191658	0.694812838	0.015035894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	137492973	137554031	augustus_masked-scaffold-ma1-processed-gene-458.3	map3k20	MAP3K20	LOC106546812	2.593095608	0.633585183	0.000156336	NA	NA	NA	1.195275656	0.655669374	0.038782956	NA	NA	NA	NA	NA	NA
scaffold-ma1	135258328	135307725	maker-scaffold-ma1-augustus-gene-451.9	abcb11	ABCB11	ABCB11	-1.763656225	0.670422817	0.007419072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	150139466	150159049	maker-scaffold-ma1-augustus-gene-500.10	LOC100558629	MOB4	LOC106538308	1.634106164	1.105698679	0.043582303	NA	NA	NA	-1.440964187	0.598627536	0.007986419	NA	NA	NA	NA	NA	NA
scaffold-ma1	160507049	160522736	augustus_masked-scaffold-ma1-processed-gene-535.4	NA	NA	LOC106552074	1.264402464	0.669358849	0.037313457	NA	NA	NA	0.906674165	0.407025916	0.048309509	NA	NA	NA	NA	NA	NA
scaffold-ma1	166392619	166424111	maker-scaffold-ma1-augustus-gene-554.5	tnfrsf21	TNFRSF21	TNFRSF21	1.744524925	0.903529476	0.023213462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	167888590	167902681	maker-scaffold-ma1-augustus-gene-560.12	LOC100564897	LOC103050042	LOC106552186	-1.564676462	1.077865878	0.04894745	NA	NA	NA	-1.841944853	0.920685057	0.012550595	NA	NA	NA	NA	NA	NA
scaffold-ma1	179656177	179692265	maker-scaffold-ma1-augustus-gene-599.8	ctnna1	CTNNA1	CTNNA1	1.557147277	0.716203491	0.018637094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	180037053	180059634	maker-scaffold-ma1-augustus-gene-600.20	wdfy3	WDFY4	LOC106541247	1.836124584	1.100113578	0.028792047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	186780770	186785049	maker-scaffold-ma1-augustus-gene-622.9	sdc1	SDC1	LOC106543676	1.773338785	0.584654703	0.003326502	NA	NA	NA	-1.195850879	0.52835856	0.018653036	NA	NA	NA	NA	NA	NA
scaffold-ma1	194519689	194533188	maker-scaffold-ma1-augustus-gene-648.4	alkal2	ALKAL2	ALKAL2	-1.283048922	0.507675485	0.01228209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	195507537	195521015	maker-scaffold-ma1-augustus-gene-651.10	cln8	CLN8	CLN8	2.080488725	1.092684145	0.017309702	NA	NA	NA	1.628987103	0.965218406	0.025516388	NA	NA	NA	NA	NA	NA
scaffold-ma1	189568068	189638571	maker-scaffold-ma1-augustus-gene-632.14	atad2b	ATAD2B	ATAD2B	1.549571124	0.976318621	0.043119779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	198613901	198617874	maker-scaffold-ma1-augustus-gene-662.10	LOC103282722	LOC103054201	LOC106556146	2.283900961	1.725498183	0.01150794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	198312789	198320880	maker-scaffold-ma1-augustus-gene-661.9	NA	NA	NA	-1.721657898	1.014299921	0.031651562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	206253970	206275109	augustus_masked-scaffold-ma1-processed-gene-687.1	hnf1b	HNF1A	HNF1A	-2.706079662	0.829836628	0.001200945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	206253970	206275109	augustus_masked-scaffold-ma1-processed-gene-687.1	hnf1b	HNF1A	HNF1A	-3.058213079	0.674354262	3.72E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	199477754	199559052	maker-scaffold-ma1-augustus-gene-665.6	dst	DST	LOC106550899	2.470961647	0.699450656	0.000762671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	206430895	206438369	maker-scaffold-ma1-augustus-gene-688.11	tmem30a	TMEM30A	TMEM30A	1.849453147	0.576320808	0.002167276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	220022263	220031636	maker-scaffold-ma1-augustus-gene-733.9	c1h6orf203	LOC103064992	LOC106546879	-0.993553253	0.527065001	0.048871986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	221565446	221603290	maker-scaffold-ma1-augustus-gene-738.8	cdc40	CDC40	CDC40	1.361811119	0.629403297	0.022108333	NA	NA	NA	1.412131888	0.671890415	0.016090842	NA	NA	NA	NA	NA	NA
scaffold-ma1	232312034	232335439	augustus_masked-scaffold-ma1-processed-gene-774.5	LOC100552635	LOC103051468	LOC106538319	1.629507468	1.449477621	0.043573616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	232312034	232335439	augustus_masked-scaffold-ma1-processed-gene-774.5	LOC100552635	LOC103051468	LOC106538319	1.665628836	1.163055494	0.043410027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	234989942	235008016	maker-scaffold-ma1-augustus-gene-783.6	tnfaip3	TNFAIP3	TNFAIP3	3.492645915	1.002562449	0.000339147	NA	NA	NA	3.019302501	1.209447608	0.002578222	NA	NA	NA	NA	NA	NA
scaffold-ma1	234989942	235008016	maker-scaffold-ma1-augustus-gene-783.6	tnfaip3	TNFAIP3	TNFAIP3	3.492645915	1.002562449	0.000339147	NA	NA	NA	1.737317173	1.058040271	0.024396159	NA	NA	NA	NA	NA	NA
scaffold-ma1	232073545	232077437	maker-scaffold-ma1-augustus-gene-773.16	fth1	FTH1	FTH1	2.03159188	0.969083243	0.014340925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	232073545	232077437	maker-scaffold-ma1-augustus-gene-773.16	fth1	FTH1	FTH1	1.79273135	1.157514074	0.0339724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	238357324	238369604	maker-scaffold-ma1-augustus-gene-794.3	rab32	RAB32	RAB32	1.913609395	0.55333166	0.00115454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	243187102	243192305	maker-scaffold-ma1-augustus-gene-810.6	dnajc22	DNAJC22	DNAJC22	-2.195890411	0.961603844	0.00977892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	247517617	247522521	maker-scaffold-ma1-augustus-gene-825.4	rps6ka2	LOC103062179	LOC106556931	2.251553265	0.863415058	0.005604975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	247544775	247598505	maker-scaffold-ma1-augustus-gene-825.5	rps6ka2	LOC103062179	LOC106556931	2.029548205	1.35525077	0.024984037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	250326090	250341589	maker-scaffold-ma1-augustus-gene-834.12	rab4a	LOC103050447	RAB4A	1.292855094	0.636493721	0.028792047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	252031867	252040351	maker-scaffold-ma1-augustus-gene-840.7	tomm20	TOMM20	TOMM20	1.628704169	0.875511991	0.02794386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	259906586	259947164	maker-scaffold-ma1-augustus-gene-866.21	xpo5	XPO5	LOC106541567	1.758502542	1.361846192	0.038771526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	265642998	265643333	augustus_masked-scaffold-ma1-processed-gene-885.1	fosl2	FOSL2	FOSL2	4.452554006	0.889349454	1.53E-06	NA	NA	NA	2.618615842	1.037940057	0.003220085	NA	NA	NA	NA	NA	NA
scaffold-ma1	265395162	265434651	maker-scaffold-ma1-augustus-gene-884.7	rbks	LOC103053317	RBKS	1.708407642	1.175309218	0.040456461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	274330409	274334085	maker-scaffold-ma1-augustus-gene-914.14	atf3	ATF3	ATF3	4.728267019	0.723044274	3.83E-10	NA	NA	NA	2.753069054	0.988766527	0.001829325	NA	NA	NA	3.516654807	1.259120545	0.029440243
scaffold-ma1	272822822	272854665	maker-scaffold-ma1-augustus-gene-909.5	ush2a	USH2A	LOC106544549	-2.132127033	1.115857665	0.016394179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	276985004	277015680	maker-scaffold-ma1-augustus-gene-923.6	haao	HAAO	HAAO	-2.150018991	0.737268205	0.003440165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	280014852	280025381	maker-scaffold-ma1-augustus-gene-933.13	gch1	LOC103050242	LOC106553155	2.356669839	1.578842547	0.013235546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	283641063	283650360	maker-scaffold-ma1-augustus-gene-945.8	tacstd2	EPCAM	EPCAM	2.971849088	0.923248917	0.001033975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	294517193	294554927	augustus_masked-scaffold-ma1-processed-gene-981.2	znf395	ZNF395	ZNF395	1.756492948	1.660255401	0.023227868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	298056081	298070212	maker-scaffold-ma1-augustus-gene-993.12	nsun5	NSUN5	NSUN5	2.084556189	0.668791315	0.002352797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	304745232	304762835	maker-scaffold-ma1-augustus-gene-1016.4	ncf1	NCF1	NCF1	1.649733282	0.674030075	0.011205669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	307881254	307935735	maker-scaffold-ma1-augustus-gene-1026.4	rap1gap2	RAP1GAP2	RAP1GAP2	1.988087823	1.591504429	0.022194194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	309019962	309031715	maker-scaffold-ma1-augustus-gene-1030.4	lgals8	LGALS8	LOC106555033	1.725957584	0.829056742	0.018926548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma1	309019962	309031715	maker-scaffold-ma1-augustus-gene-1030.4	lgals8	LGALS8	LOC106555033	1.931349929	0.991058727	0.019180296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	579959	593762	augustus_masked-scaffold-ma5-processed-gene-2.1	abhd4	HNRNPM	RFX2	1.862976109	0.385292929	1.79E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	3517165	3549324	augustus_masked-scaffold-ma5-processed-gene-11.1	ank3	ANK3	ANK3	-1.129501862	0.602858836	0.043119779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	5201407	5205082	maker-scaffold-ma5-augustus-gene-17.3	smkr1	NA	NA	2.108760626	0.75678325	0.004448306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	7295285	7342230	augustus_masked-scaffold-ma5-processed-gene-24.6	LOC100561579	SFTPA1	LOC106537513	1.795855674	0.761461166	0.011667427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	7351863	7381809	augustus_masked-scaffold-ma5-processed-gene-24.7	LOC100559406	LOC103059146	SFTPD	1.811379514	1.141862341	0.032060817	NA	NA	NA	NA	NA	NA	-2.63405027	2.894072893	0.02782234	NA	NA	NA
scaffold-ma5	25690460	25694223	maker-scaffold-ma5-augustus-gene-85.11	NA	MFSD12	MFSD12	3.328178763	0.750539719	4.06E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	25690460	25694223	maker-scaffold-ma5-augustus-gene-85.11	NA	MFSD12	MFSD12	3.373102863	0.815429909	8.19E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	28230764	28239253	maker-scaffold-ma5-augustus-gene-94.1	bnip3	BNIP3	BNIP3	1.274579869	0.724335086	0.044567347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	36276040	36288677	maker-scaffold-ma5-augustus-gene-121.5	rab1a	RAB1A	RAB1A	0.988590303	0.52475288	0.04913345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	42744808	42759120	maker-scaffold-ma5-augustus-gene-142.5	dusp5	DUSP5	DUSP5	3.989373809	1.018751058	7.08E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	42744808	42759120	maker-scaffold-ma5-augustus-gene-142.5	dusp5	DUSP5	DUSP5	3.861113256	0.805697362	8.08E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	46613287	46622844	augustus_masked-scaffold-ma5-processed-gene-155.2	trim8	TRIM8	TRIM8	1.322859645	0.678317003	0.031973556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	46613287	46622844	augustus_masked-scaffold-ma5-processed-gene-155.2	trim8	TRIM8	TRIM8	1.256225322	0.653102677	0.035343067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	50377457	50390603	maker-scaffold-ma5-augustus-gene-168.10	LOC100563006	LOC103056609	LOC106537859	-1.807716451	0.915752101	0.020794467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	56989697	57013041	maker-scaffold-ma5-augustus-gene-190.7	pask	PASK	PASK	1.81829585	1.182004504	0.033028049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	62870136	62905175	maker-scaffold-ma5-augustus-gene-209.11	agfg1	AGFG1	AGFG1	1.696839524	1.612751918	0.028111929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	63853488	63966020	augustus_masked-scaffold-ma5-processed-gene-213.1	xrn1	XRN1	XRN1	-2.398963871	0.783212687	0.002220877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	66860223	66902591	maker-scaffold-ma5-augustus-gene-223.7	LOC100562609	LOC103064521	CPA6	-2.032134828	1.252922697	0.023574002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	70056547	70064904	maker-scaffold-ma5-augustus-gene-233.6	tiparp	TIPARP	TIPARP	2.070901329	0.859040003	0.008944671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	77314910	77417840	maker-scaffold-ma5-augustus-gene-258.5	fndc3b	FNDC3B	LOC106548227	1.800080124	0.548062571	0.001886407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	77314910	77417840	maker-scaffold-ma5-augustus-gene-258.5	fndc3b	FNDC3B	LOC106548227	1.723860502	0.703952012	0.010579449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	83430825	83486868	augustus_masked-scaffold-ma5-processed-gene-278.1	atp11b	ATP11B	ATP11B	1.773513761	0.965407489	0.025729979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	83430825	83486868	augustus_masked-scaffold-ma5-processed-gene-278.1	atp11b	ATP11B	ATP11B	1.142533658	0.504207749	0.022141431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma5	83830187	83866372	augustus_masked-scaffold-ma5-processed-gene-279.6	kng1	NA	LOC106550463	-2.135427326	1.016613017	0.013061325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
